	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
310	11	0.0270	0.9130	1.9557	0.5728	8192	relu	mse
311	12	0.0231	0.9381	1.9558	0.5732	8192	relu	mse
312	13	0.0197	0.9587	1.9511	0.5737	8192	relu	mse
313	14	0.0166	0.9711	1.9603	0.5731	8192	relu	mse
314	15	0.0141	0.9797	1.9487	0.5816	8192	relu	mse
315	16	0.0119	0.9866	1.9469	0.5791	8192	relu	mse
316	17	0.0101	0.9906	1.9474	0.5824	8192	relu	mse
317	18	0.0086	0.9931	1.9392	0.5868	8192	relu	mse
318	19	0.0072	0.9956	1.9427	0.5854	8192	relu	mse
319	20	0.0062	0.9965	1.9479	0.5799	8192	relu	mse
320	1	1.9320	0.3180	1.8950	0.3384	64	tanh	xent
321	2	1.8855	0.3474	1.8683	0.3492	64	tanh	xent
322	3	1.8724	0.3504	1.8666	0.3613	64	tanh	xent
323	4	1.8662	0.3596	1.8563	0.3744	64	tanh	xent
324	5	1.8547	0.3614	1.8804	0.3478	64	tanh	xent
325	6	1.8386	0.3681	1.8453	0.3663	64	tanh	xent
326	7	1.8352	0.3723	1.8613	0.3750	64	tanh	xent
327	8	1.8377	0.3730	1.8660	0.3713	64	tanh	xent
328	9	1.8383	0.3713	1.9130	0.3371	64	tanh	xent
329	10	1.8319	0.3751	1.8905	0.3493	64	tanh	xent
330	11	1.8260	0.3768	1.8602	0.3597	64	tanh	xent
331	12	1.8254	0.3776	1.8356	0.3733	64	tanh	xent
332	13	1.8280	0.3745	1.8824	0.3638	64	tanh	xent
333	14	1.8153	0.3820	1.8524	0.3649	64	tanh	xent
334	15	1.8217	0.3808	1.8202	0.3757	64	tanh	xent
335	16	1.8130	0.3853	1.8795	0.3766	64	tanh	xent
336	17	1.8072	0.3872	1.8219	0.3746	64	tanh	xent
337	18	1.8076	0.3865	1.8614	0.3742	64	tanh	xent
338	19	1.8028	0.3879	1.9008	0.3621	64	tanh	xent
339	20	1.8082	0.3827	1.8357	0.3811	64	tanh	xent
340	1	1.9213	0.3236	1.8749	0.3333	128	tanh	xent
341	2	1.8693	0.3510	1.8818	0.3536	128	tanh	xent
342	3	1.8539	0.3600	1.8860	0.3542	128	tanh	xent
343	4	1.8401	0.3677	1.8978	0.3627	128	tanh	xent
344	5	1.8352	0.3706	1.8707	0.3486	128	tanh	xent
345	6	1.8340	0.3730	1.8566	0.3482	128	tanh	xent
346	7	1.8248	0.3739	1.8782	0.3736	128	tanh	xent
347	8	1.8238	0.3798	1.8388	0.3676	128	tanh	xent
348	9	1.8179	0.3839	1.8906	0.3587	128	tanh	xent
349	10	1.8108	0.3829	1.9070	0.3574	128	tanh	xent
350	11	1.8114	0.3840	1.8143	0.3890	128	tanh	xent
351	12	1.7957	0.3934	1.8167	0.3797	128	tanh	xent
352	13	1.8038	0.3900	1.8289	0.3838	128	tanh	xent
353	14	1.8060	0.3883	1.8853	0.3787	128	tanh	xent
354	15	1.8001	0.3897	1.8620	0.3878	128	tanh	xent
355	16	1.7869	0.3941	1.8371	0.3695	128	tanh	xent
356	17	1.7892	0.3970	1.8563	0.3825	128	tanh	xent
357	18	1.7898	0.3954	1.8502	0.3855	128	tanh	xent
358	19	1.7959	0.3912	1.8429	0.3685	128	tanh	xent
359	20	1.7861	0.3957	1.8183	0.3870	128	tanh	xent
360	1	1.9120	0.3275	1.8514	0.3492	256	tanh	xent
361	2	1.8437	0.3635	1.8589	0.3704	256	tanh	xent
362	3	1.8231	0.3731	1.8406	0.3769	256	tanh	xent
363	4	1.8165	0.3788	1.7916	0.3837	256	tanh	xent
364	5	1.8127	0.3783	1.8762	0.3674	256	tanh	xent
365	6	1.8023	0.3849	1.7836	0.3918	256	tanh	xent
366	7	1.8014	0.3909	1.8071	0.3855	256	tanh	xent
367	8	1.7909	0.3920	1.7872	0.3910	256	tanh	xent
368	9	1.7854	0.3951	1.8236	0.3807	256	tanh	xent
369	10	1.7805	0.4005	1.9115	0.3648	256	tanh	xent
370	11	1.7767	0.4013	1.8085	0.3946	256	tanh	xent
371	12	1.7706	0.4046	1.8958	0.3720	256	tanh	xent
372	13	1.7664	0.4045	1.8357	0.3903	256	tanh	xent
373	14	1.7549	0.4084	1.8118	0.3968	256	tanh	xent
374	15	1.7467	0.4086	1.8157	0.3806	256	tanh	xent
375	16	1.7366	0.4134	1.8613	0.3898	256	tanh	xent
376	17	1.7432	0.4105	1.8221	0.3899	256	tanh	xent
377	18	1.7245	0.4173	1.8792	0.3826	256	tanh	xent
378	19	1.7309	0.4180	1.8119	0.3933	256	tanh	xent
379	20	1.7312	0.4190	1.8645	0.3885	256	tanh	xent
380	1	1.8987	0.3365	1.8498	0.3589	512	tanh	xent
381	2	1.8333	0.3658	1.8598	0.3647	512	tanh	xent
382	3	1.8121	0.3770	1.8494	0.3550	512	tanh	xent
383	4	1.7959	0.3869	1.8410	0.3860	512	tanh	xent
384	5	1.7902	0.3897	1.8339	0.3795	512	tanh	xent
385	6	1.7738	0.3973	1.8253	0.3863	512	tanh	xent
386	7	1.7686	0.3979	1.7926	0.3847	512	tanh	xent
387	8	1.7560	0.4052	1.8331	0.3943	512	tanh	xent
388	9	1.7490	0.4073	1.8106	0.3837	512	tanh	xent
389	10	1.7388	0.4127	1.8021	0.3877	512	tanh	xent
390	11	1.7345	0.4155	1.8193	0.3917	512	tanh	xent
391	12	1.7244	0.4212	1.8118	0.3913	512	tanh	xent
392	13	1.7245	0.4187	1.7886	0.4017	512	tanh	xent
393	14	1.7223	0.4206	1.8550	0.3754	512	tanh	xent
394	15	1.7144	0.4223	1.8047	0.4055	512	tanh	xent
395	16	1.7109	0.4255	1.8132	0.3945	512	tanh	xent
396	17	1.7126	0.4214	1.8088	0.3998	512	tanh	xent
397	18	1.7089	0.4280	1.8085	0.4055	512	tanh	xent
398	19	1.6984	0.4283	1.8225	0.3961	512	tanh	xent
399	20	1.6857	0.4359	1.8191	0.4000	512	tanh	xent
400	1	1.8957	0.3367	1.8394	0.3617	1024	tanh	xent
401	2	1.8314	0.3655	1.8282	0.3834	1024	tanh	xent
402	3	1.8033	0.3808	1.8094	0.3904	1024	tanh	xent
403	4	1.7831	0.3917	1.8464	0.3765	1024	tanh	xent
404	5	1.7655	0.3969	1.8317	0.3781	1024	tanh	xent
405	6	1.7592	0.4029	1.8687	0.3717	1024	tanh	xent
406	7	1.7591	0.4037	1.8381	0.3910	1024	tanh	xent
407	8	1.7451	0.4094	1.8648	0.3746	1024	tanh	xent
408	9	1.7239	0.4161	1.9025	0.3853	1024	tanh	xent
409	10	1.7183	0.4187	1.8507	0.3861	1024	tanh	xent
410	11	1.7068	0.4254	1.8398	0.3932	1024	tanh	xent
411	12	1.7043	0.4271	1.8736	0.3898	1024	tanh	xent
412	13	1.6942	0.4317	1.8030	0.3955	1024	tanh	xent
413	14	1.6879	0.4311	1.8651	0.3876	1024	tanh	xent
414	15	1.6713	0.4380	1.8268	0.4135	1024	tanh	xent
415	16	1.6646	0.4390	1.9202	0.3829	1024	tanh	xent
416	17	1.6633	0.4404	1.8588	0.3843	1024	tanh	xent
417	18	1.6565	0.4415	1.8738	0.3908	1024	tanh	xent
418	19	1.6486	0.4481	1.8200	0.4032	1024	tanh	xent
419	20	1.6503	0.4464	1.8546	0.3924	1024	tanh	xent
420	1	1.8857	0.3403	1.8258	0.3544	2048	tanh	xent
421	2	1.8161	0.3726	1.7907	0.3904	2048	tanh	xent
422	3	1.7918	0.3846	1.7716	0.3821	2048	tanh	xent
